currency,detail_date,closing_price,24_hour_open,24h_high_usd,24h_low_usd
LINK,4/24/20,3.8291215357,3.6502583339,3.9060074119,3.5997493879
LINK,4/25/20,3.7907619334,3.8291927081,3.8897335815,3.7228957396
LINK,4/26/20,3.7811621291,3.7906712035,3.9084390157,3.7484459716
LINK,4/27/20,3.6864974561,3.7811698979,3.8182758328,3.6603634774
LINK,4/28/20,3.6261909469,3.6864325578,3.7433751919,3.4715932565
LINK,4/29/20,3.6210862579,3.6260166558,3.7424774155,3.5631405909
LINK,4/30/20,3.881665691,3.6210606591,3.9972453787,3.6201964745
LINK,5/1/20,3.7293302865,3.8816719491,3.9786481618,3.6368207973
LINK,5/2/20,3.7733127179,3.7279748517,3.918337264,3.6966667786
LINK,5/3/20,3.8385709567,3.7742580264,3.8695878234,3.7396342381
LINK,5/4/20,3.7390911306,3.8383676024,3.8708630292,3.6517739559
LINK,5/5/20,3.7456347069,3.7388788792,3.8342479484,3.5108157283
LINK,5/6/20,3.6928881345,3.7457080246,3.8181082663,3.661047864
LINK,5/7/20,3.663051116,3.6928879829,3.7704799141,3.625943412
LINK,5/8/20,3.7613305184,3.6632244208,5.8036968647,3.5711282702
LINK,5/9/20,3.8344267335,3.7606326523,3.8548144668,3.6966128464
LINK,5/10/20,4.0713907045,3.8344966385,4.2183417999,3.7773421686
LINK,5/11/20,3.7663511016,4.0713831228,4.0719219826,3.527251298
LINK,5/12/20,3.54585622,3.7663433623,3.833356023,3.3049985757
LINK,5/13/20,3.6928983119,3.5436375642,3.7950675512,3.5140832578
LINK,5/14/20,3.7641682934,3.6928658028,3.8210210417,3.6434090029
LINK,5/15/20,3.8326586184,3.764290916,3.8626753306,3.6995623239
LINK,5/16/20,3.68943329,3.8326581833,3.8344656634,3.6192089101
LINK,5/17/20,3.7763893793,3.6894012959,3.7892447563,3.6159477894
LINK,5/18/20,3.7806785468,3.7763089886,3.8519522813,3.7529707663
LINK,5/19/20,3.8842596672,3.7806785468,3.946638786,3.7700917669
LINK,5/20/20,3.9287384081,3.8838701536,3.9325323839,3.773080163
LINK,5/21/20,4.0590637076,3.928692949,4.1376210199,3.8990079072
LINK,5/22/20,3.8889645728,4.0589715837,4.1733715847,3.7305061113
LINK,5/23/20,4.0995480974,3.8879757541,4.1446637953,3.7923493107
LINK,5/24/20,3.9631407669,4.0995483069,4.1075570179,3.9134714854
LINK,5/25/20,3.903569276,3.9630323886,4.0268810093,3.818650705
LINK,5/26/20,3.8530432195,3.9035590248,3.9162788148,3.769382099
LINK,5/27/20,3.8342060736,3.8530367048,3.8814674418,3.7722726416
LINK,5/28/20,3.8547273691,3.8342060736,3.9193105976,3.8095955981
LINK,5/29/20,3.9416073976,3.8546985549,3.9598653264,3.6796515897
LINK,5/30/20,3.9755860543,3.9416140677,4.1258001896,3.9416140677
LINK,5/31/20,4.1577971783,3.9835387333,4.1617066961,3.9438763433
LINK,6/1/20,4.1098542506,4.1593774132,4.2826232768,4.0431282598
LINK,6/2/20,4.4286393044,4.1107987072,4.4759477223,4.1011897737
LINK,6/3/20,4.3998161947,4.4286457912,4.6156674495,4.1198869402
LINK,6/4/20,4.4935923344,4.3998167854,4.5294417601,4.2979561006
LINK,6/5/20,4.428399942,4.4936040621,4.5066706262,4.2917996075
LINK,6/6/20,4.381474218,4.4285120819,4.4834410289,4.339163198
LINK,6/7/20,4.3552929877,4.3813895988,4.396663711,4.3066203996
LINK,6/8/20,4.3377877957,4.3552929368,4.4069561248,4.2121360501
LINK,6/9/20,4.4602819742,4.3377887481,4.4630542343,4.3294002199
LINK,6/10/20,4.4451838534,4.4603636921,4.5035069111,4.3698750083
LINK,6/11/20,4.4291666544,4.4451240004,4.4460221079,4.3437304508
LINK,6/12/20,3.9345062199,4.4291663843,4.452984137,3.9067613239
LINK,6/13/20,4.0825771748,3.9346145878,4.1881625736,3.8591904187
LINK,6/14/20,4.102849031,4.0825952925,4.1272523758,4.007589354
LINK,6/15/20,3.9591124174,4.102849031,4.1136592861,3.9133685937
LINK,6/16/20,3.9422542491,3.9590742916,3.9897340959,3.6521288488
LINK,6/17/20,4.0445929411,3.9422925466,4.0936817475,3.8975014212
LINK,6/18/20,4.1678206525,4.0445883317,4.1907055785,3.9560721296
LINK,6/19/20,4.167584722,4.1677991388,4.243165037,4.0932990442
LINK,6/20/20,4.0844999837,4.1674790521,4.1785309253,4.0513403561
LINK,6/21/20,4.1800844957,4.0843132002,4.2029071403,4.0633190056
LINK,6/22/20,4.1820517718,4.180081658,4.2011569514,4.1376055632
LINK,6/23/20,4.4790862969,4.1819551192,4.4809587339,4.1735760383
LINK,6/24/20,4.8007967646,4.4791379353,4.9462552873,4.4281924379
LINK,6/25/20,4.7086267226,4.8005145714,4.9402753546,4.4948323377
LINK,6/26/20,4.8051154281,4.708602635,4.8360873765,4.5019277723
LINK,6/27/20,4.6923727371,4.8051276132,4.8543428952,4.6392864987
LINK,6/28/20,4.4356248374,4.6923697398,4.6930316655,4.2980823002
LINK,6/29/20,4.5316858624,4.4356264747,4.6176354942,4.3273027827
LINK,6/30/20,4.6067973828,4.5317127753,4.6480830693,4.4286052282
LINK,7/1/20,4.5730288051,4.6063237287,4.6578932869,4.5394496548
LINK,7/2/20,4.68625303,4.5655531708,4.7343146566,4.5241771849
LINK,7/3/20,4.7861683046,4.7107646427,4.9216717911,4.6138657284
LINK,7/4/20,4.7857559712,4.8032923683,4.8957434363,4.7631784739
LINK,7/5/20,4.7971112659,4.7357450438,4.8487620359,4.7222503083
LINK,7/6/20,4.7422392855,4.8209562392,4.8333980502,4.6188821564
LINK,7/7/20,5.271746234,4.7471798332,5.5001924317,4.7392261116
LINK,7/8/20,5.7640037611,5.3633214138,5.8955602343,5.3319947803
LINK,7/9/20,6.4786971501,5.7280406807,6.484422325,5.6066675427
LINK,7/10/20,6.0995480299,6.5038847783,6.5046255278,5.7202650427
LINK,7/11/20,6.1237906807,6.0817938761,6.1995291556,5.7186697823
LINK,7/12/20,6.0892661159,6.1438391285,6.267622707,5.9750790161
LINK,7/13/20,7.1534531509,6.106290856,7.3149713171,6.1024955263
LINK,7/14/20,7.1179160817,7.3552476961,8.4764771767,6.8649452579
LINK,7/15/20,8.1133283914,7.1621342568,8.3430547531,6.9912853455
LINK,7/16/20,8.6434202863,8.1354632409,8.7921541932,7.8400261966
LINK,7/17/20,8.4904114055,8.6407351009,8.8694907757,7.9633189727
LINK,7/18/20,8.2982469328,8.3498405019,8.6249711643,8.2003912632
LINK,7/19/20,7.9881786348,8.2637344883,8.2658842224,7.7281345184
LINK,7/20/20,8.0915409657,7.9802242042,8.2096996506,7.7901268525
LINK,7/21/20,7.3657559003,8.0870608083,8.1407697444,7.1368490593
LINK,7/22/20,7.1675272996,7.2343146102,7.6855505067,7.0284931441
LINK,7/23/20,7.4430568012,7.3190192842,7.6487501788,7.0960171625
LINK,7/24/20,7.8940755832,7.4817375036,8.103106982,7.4177449647
LINK,7/25/20,7.4801653603,7.9115197009,7.9394527792,7.4539846748
LINK,7/26/20,7.6653980317,7.4448522647,7.8189868925,7.3925211545
LINK,7/27/20,7.538454913,7.6819398363,7.9543585476,7.2257979657
LINK,7/28/20,7.1388618025,7.5072091876,7.510177042,6.5384968983
LINK,7/29/20,7.1378217487,7.1115546458,7.4320043593,6.9268452736
LINK,7/30/20,7.0856779189,7.2466281977,7.4987860111,7.0006701793
LINK,7/31/20,7.4028592005,7.1012541454,7.5868902475,7.0372210929
LINK,8/1/20,7.7241641185,7.4198635585,7.8706017254,7.4179655608
LINK,8/2/20,8.2967920883,7.813995169,8.4160486003,7.6534566761
LINK,8/3/20,8.3006185186,8.3346869969,8.7882693464,6.9716520119
LINK,8/4/20,8.8346211504,8.2849482551,8.9068458036,8.1563515844
LINK,8/5/20,9.8810706002,9.2625849045,9.976671379,9.0986871068
LINK,8/6/20,9.4959657381,9.8720228497,9.8720228497,9.3530587308
LINK,8/7/20,9.6633781425,9.5373441308,9.9007928951,9.4611096334
LINK,8/8/20,9.9964621074,10.245294299,10.2749741564,9.1926119696
LINK,8/9/20,12.7143848846,10.1463034127,13.6634747293,9.9519195636
LINK,8/10/20,14.1048400572,12.7217158285,14.4567243196,12.0198200411
LINK,8/11/20,13.3401866932,13.8264504658,14.025853837,12.5782868875
LINK,8/12/20,12.7945947149,13.4898698501,13.5500031394,12.1163311468
LINK,8/13/20,15.8213573345,12.9984469027,16.1336963074,12.6061430559
LINK,8/14/20,17.4381414154,16.479189607,18.3398664051,16.0216857257
LINK,8/15/20,16.9896781919,17.1977624124,17.6147892201,16.350127629
LINK,8/16/20,18.9986010872,16.9861965367,19.819274188,16.5731974939
LINK,8/17/20,19.0307607436,19.2283871568,19.903849565,18.5528976165
LINK,8/18/20,18.7147151655,18.8177407804,19.7184140337,18.4966313702
LINK,8/19/20,16.7106457492,16.8254451674,17.6850334127,15.0951675657
LINK,8/20/20,16.5498436215,16.2042468654,17.2692062864,14.9023068178
LINK,8/21/20,16.0989513752,16.1997610345,16.7506704021,15.8402109272
LINK,8/22/20,14.4961723084,16.0626212536,16.1523545276,12.9112963332
LINK,8/23/20,16.2534002815,13.8364852899,16.3158854748,13.696133682
LINK,8/24/20,14.9781707389,15.8135195377,16.0055835629,14.7209682311
LINK,8/25/20,15.0796830432,15.1590837421,15.8883278744,14.7173219333
LINK,8/26/20,14.3153724341,15.1486007609,15.3805925964,13.5024077948
LINK,8/27/20,14.9904154327,14.1354944508,15.6614721946,14.0832945148
LINK,8/28/20,14.4442327595,15.2098808478,15.5217774291,14.0316776897
LINK,8/29/20,15.1183034022,14.5353425969,15.5013442187,14.2634945503
LINK,8/30/20,16.5691907209,15.1356684996,16.9812301085,14.9801865648
LINK,8/31/20,16.6793546636,16.389348751,17.7776371785,16.3804759832
LINK,9/1/20,15.9452513582,16.4785328696,16.956127858,15.8335243658
LINK,9/2/20,16.1959506126,15.5866350279,16.5059924779,15.1057530889
LINK,9/3/20,14.9520291026,16.0463491682,16.3592037724,14.0933217625
